Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz,7,1705,42.9,88.2,0.487,16.9,40.2,0.421,26,48,0.542,19.4,25.1,0.773,10,34.3,44.3,23.1,6.6,3.4,12.9,20.5,122.2
2,Los Angeles Lakers,21,5040,42.2,86.3,0.489,12.4,35.1,0.354,29.8,51.2,0.581,19.1,25.3,0.758,10.9,34.5,45.3,26.3,8.3,5.5,15.8,23.3,115.9
3,Los Angeles Clippers,13,3145,41.4,87.4,0.474,12.2,33.2,0.368,29.2,54.2,0.539,20.3,25.5,0.798,9.6,35,44.5,21.4,7.6,3.7,13.2,23.2,115.4
4,Denver Nuggets,19,4585,41.1,87.2,0.471,13,34.2,0.379,28.1,53,0.53,18.5,22.6,0.816,9.8,33.2,43,23.8,6.5,4.2,14.7,23.7,113.6
5,Miami Heat,21,5090,38.9,84.7,0.46,13.2,36.7,0.359,25.8,48,0.536,22.5,27.3,0.825,8,34.7,42.7,25.7,7.1,4,13.6,20.5,113.5
6,Dallas Mavericks,6,1465,40.6,85.9,0.473,13,36.1,0.36,27.6,49.8,0.555,18.5,25.5,0.723,7.4,34.2,41.6,20.7,6.3,3.5,12.2,21.7,112.7
7,Boston Celtics,17,4155,39.3,86.5,0.454,12.6,37.1,0.341,26.7,49.4,0.539,20.1,24.7,0.816,8.9,37.1,46.1,23.1,6.8,4.9,14.2,22.7,111.3
8,Milwaukee Bucks,10,2425,39.6,86,0.46,13.1,36.6,0.358,26.5,49.3,0.536,17.4,24,0.724,9.3,36.8,46.1,24,7.1,4.1,14.7,21.4,109.7
9,Houston Rockets,12,2905,37.6,86.2,0.436,17,47,0.362,20.6,39.2,0.526,16,20.3,0.789,6.7,32.3,39,21.4,9.1,3.5,13.5,22.3,108.3
10,Toronto Raptors,11,2690,38.7,87.6,0.442,14.5,39.9,0.363,24.2,47.7,0.508,16.4,21.1,0.778,8.1,36.1,44.2,24.6,7,5.4,13,22.2,108.3
11,Philadelphia 76ers,4,960,34.9,88.2,0.396,8.4,31.8,0.264,26.5,56.4,0.47,27.3,33.6,0.813,12.9,35.4,48.3,18.4,5.2,4.7,12.6,23.4,105.5
12,Portland Trail Blazers,5,1200,36.9,86.5,0.426,11.4,30,0.379,25.5,56.5,0.451,19.4,24.5,0.792,9.6,32.4,42,17.5,7.3,3.5,15.7,24.5,104.6
13,Indiana Pacers,4,960,37.7,83,0.455,12.4,33.1,0.375,25.3,49.9,0.508,16.3,20.9,0.778,5.9,31.8,37.7,23.3,9.6,5.7,15.8,24,104.2
14,Orlando Magic,5,1200,35.6,84.9,0.42,14.4,38.1,0.377,21.3,46.8,0.455,16.9,20.1,0.838,6.3,34.9,41.2,22.8,6.5,3.1,14,20.1,102.5
15,Oklahoma City Thunder,7,1705,36.1,84.1,0.43,11.8,36,0.328,24.3,48.1,0.506,18.3,23.6,0.774,8.9,40.2,49.1,17.6,5.2,3.9,16.7,16.9,102.4
16,Brooklyn Nets,4,960,35,88.2,0.397,15,44.4,0.337,20,43.7,0.459,17.2,23.7,0.724,8.9,33.8,42.8,24.9,4.8,4.3,14,20.5,102.2
