Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,22,5330,41.8,87.7,0.477,12.4,33.3,0.372,29.4,54.4,0.541,20.1,24.7,0.813,10.3,33.8,44.1,28.9,7.5,5.8,14.8,23.6,116.2
2,Denver Nuggets,14,3460,42.1,95.1,0.443,10.1,29.3,0.344,32,65.8,0.486,20.8,26.6,0.782,13.8,36.5,50.3,25.3,6,4.9,9.7,22.4,115
3,San Antonio Spurs,7,1680,43.1,93.1,0.463,7.3,21.7,0.338,35.8,71.4,0.501,19.4,25.2,0.77,11.7,37.7,49.4,23.1,5,4.4,8.7,21.2,113
4,Los Angeles Clippers,6,1440,39,87.3,0.447,11.3,31,0.363,27.7,56.3,0.493,23,28.2,0.815,9.8,29.5,39.3,24.8,7.8,3.3,13.2,24.5,112.3
5,Houston Rockets,11,2665,38.3,86.3,0.444,16.1,44,0.366,22.2,42.3,0.524,19.1,25,0.764,9.9,34.3,44.2,18.8,8.8,5.2,15,22.3,111.8
6,Milwaukee Bucks,15,3650,39.4,87.5,0.451,12.7,37.7,0.336,26.8,49.8,0.537,20.2,27.7,0.729,10,41.4,51.5,24.8,6.6,6.3,12.3,21.6,111.8
7,Portland Trail Blazers,16,3965,39.9,91.5,0.436,12,33.2,0.36,28,58.3,0.479,19.2,25.1,0.766,11.6,34.2,45.7,20,7,5.2,12.7,23,111
8,Philadelphia 76ers,12,2880,40.1,87.4,0.459,9.6,28.9,0.331,30.5,58.5,0.522,20.8,26.3,0.79,11.6,37.8,49.4,24.9,6.4,5.5,16,22.8,110.7
9,Toronto Raptors,24,5810,39.1,88.1,0.444,12.4,35.8,0.346,26.8,52.3,0.512,20.1,24.2,0.83,8.6,35.4,44,23.4,8.4,4.8,11.9,23.5,110.7
10,Brooklyn Nets,5,1200,36.9,87.9,0.42,10.6,32.7,0.324,26.3,55.2,0.477,22.7,28.1,0.808,10.8,28.1,38.8,18.5,7.3,2.7,13.1,21.9,107.1
11,Oklahoma City Thunder,5,1200,38,86.4,0.44,10.4,31.5,0.331,27.5,54.8,0.502,19.3,25.5,0.756,10.2,33.1,43.4,22.7,6.6,5.4,15.3,24.3,105.7
12,Boston Celtics,9,2160,36,84.8,0.424,11.4,33.3,0.343,24.5,51.6,0.476,19.6,24.4,0.803,7.5,40.7,48.2,21.6,5.9,3.8,14,21,103
13,Utah Jazz,5,1200,35.3,88.1,0.4,9.6,36.5,0.263,25.7,51.6,0.498,19.6,26.1,0.75,12,36.1,48.2,23.5,9.4,5.5,14.9,22.2,99.8
14,Detroit Pistons,4,960,37.3,96.2,0.388,10.9,33.1,0.331,26.4,63.2,0.417,11.9,16.4,0.727,10.7,31.3,42,22.9,7.2,4,9.9,24.1,97.5
15,Indiana Pacers,4,960,35.5,88.5,0.401,10.6,31.5,0.336,24.9,56.9,0.437,15.6,21.7,0.72,8.5,34.2,42.6,22,8.7,3.7,11.9,21.2,97.2
16,Orlando Magic,5,1200,33.7,86.9,0.388,10.9,36.4,0.299,22.8,50.5,0.452,18,23.3,0.775,10.1,35.4,45.5,19.9,6.9,4.2,16.1,19.7,96.4
