Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Houston Rockets,6,1515,41.8,93.9,0.445,8.4,26.3,0.318,33.5,67.6,0.495,22.7,30.6,0.743,17.1,33.3,50.4,18.8,6.1,5.1,14.2,26.6,114.8
2,San Antonio Spurs,23,5545,42.7,86.9,0.491,9.5,23.2,0.409,33.2,63.8,0.521,19.4,25.3,0.767,10.1,35,45.2,23.9,8.7,3.7,13.5,21.3,114.2
3,Los Angeles Clippers,13,3120,41,89,0.461,9.5,26.9,0.355,31.5,62.1,0.507,21.7,29.7,0.73,11.9,29.6,41.4,24.8,9.8,4.6,13.1,25.3,113.3
4,Miami Heat,20,4800,41.1,83.7,0.491,10.8,27.3,0.396,30.3,56.4,0.536,19.9,25.5,0.78,6.9,32.5,39.4,21.2,8.5,4.5,14.1,24,112.8
5,Brooklyn Nets,12,2880,40.2,86.9,0.463,9,26.2,0.342,31.2,60.7,0.515,21.1,28.6,0.737,11.6,32.2,43.8,21.2,8,3.3,14.2,25.8,110.5
6,Golden State Warriors,7,1680,39.6,86.1,0.46,9.9,27.2,0.364,29.7,58.9,0.505,21,28.8,0.728,13.6,30.6,44.2,25.3,7.2,4.7,17.9,26.2,110.2
7,Dallas Mavericks,7,1680,42.6,94.3,0.451,9.2,24.4,0.376,33.4,69.9,0.478,15.7,20.5,0.765,12.7,31.5,44.3,20.8,7.1,4.5,12.4,22.1,110
8,Toronto Raptors,7,1680,36.8,83.5,0.441,7.4,23.6,0.313,29.4,59.8,0.492,27.2,32.6,0.833,11.4,35.5,47,19.9,6.3,3.4,17.2,29.1,108.2
9,Oklahoma City Thunder,19,4685,38.6,85.8,0.45,7.9,24.6,0.323,30.6,61.2,0.5,23,28,0.82,11.8,35.9,47.7,20.3,6.7,6.6,15.9,24.3,108.1
10,Portland Trail Blazers,11,2715,39.4,90.2,0.437,8.1,23.5,0.347,31.3,66.7,0.469,20.2,25.3,0.797,12.1,33.4,45.4,18,6.1,6.2,14.2,23.2,107.2
11,Indiana Pacers,19,4560,38.1,84.4,0.451,8.3,21.8,0.38,29.8,62.6,0.476,19.2,26.5,0.727,9.3,35.4,44.7,21.3,8,4.8,15.4,23.5,103.7
12,Chicago Bulls,5,1225,38,90,0.422,7.3,22,0.333,30.7,68,0.451,19.7,26.1,0.754,14,33.9,47.9,23.1,5.7,5,15.1,25.2,103
13,Memphis Grizzlies,7,1780,39,93.7,0.417,4.7,16.2,0.29,34.3,77.4,0.443,20,27.5,0.729,13.7,31.7,45.4,23.1,9.6,2.6,11.8,22.2,102.8
14,Washington Wizards,11,2665,38.9,90,0.432,6.4,19,0.335,32.5,71,0.458,17.9,25.6,0.696,13.2,37.4,50.7,22.1,8.4,6.4,14.5,25.1,102
15,Atlanta Hawks,7,1680,33.4,86.8,0.385,12.4,36.2,0.343,20.9,50.6,0.414,22.7,27.4,0.828,10.1,33.2,43.3,18.6,7.2,5,15,23,101.9
16,Charlotte Hornets,4,960,37.2,83,0.449,8.6,23.4,0.365,28.7,59.6,0.481,18.5,25.9,0.713,9.1,34.8,43.9,21.8,4.7,5,16.6,22.3,101.5
