Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,21,5115,40.2,88.6,0.453,12,32.1,0.374,28.2,56.5,0.498,16.3,23.3,0.699,12.2,35.8,48,25.8,8.4,6.1,15.4,23.6,108.7
2,Los Angeles Clippers,14,3385,39.7,85.3,0.466,8.4,25.6,0.329,31.3,59.7,0.525,20.6,30.8,0.667,9.7,35.2,44.9,22.6,8.6,5.9,13.2,24.9,108.4
3,Dallas Mavericks,5,1200,40.8,90.3,0.452,7.5,23.9,0.311,33.4,66.3,0.503,18.8,24.7,0.762,13.3,33.2,46.5,20.8,6.9,4.5,13.9,26.7,107.9
4,San Antonio Spurs,7,1705,39.9,88.9,0.449,10,27.2,0.366,29.9,61.6,0.486,18,26.5,0.68,12.2,36.2,48.4,25.2,6.4,4.9,12.7,25.9,107.8
5,Cleveland Cavaliers,20,4875,37.7,89.8,0.42,10.6,31.1,0.34,27.1,58.6,0.462,21.5,29.2,0.738,13.3,37.8,51.1,19.5,6.8,6.9,14.1,22.7,107.4
6,New Orleans Pelicans,4,985,40.3,89.3,0.451,7.2,22.5,0.318,33.1,66.8,0.496,19.1,23.6,0.809,11.4,33.1,44.5,24.6,7.9,6.1,14.3,25.2,106.8
7,Houston Rockets,17,4080,36.8,82.1,0.448,9.3,27.1,0.344,27.5,55,0.499,23.6,36.2,0.654,10.7,34.3,45,21.6,8.2,5.4,15.2,23.1,106.6
8,Washington Wizards,10,2425,39,88.4,0.441,9.8,24.4,0.403,29.2,64,0.456,17.9,24.8,0.722,12.1,37.2,49.4,24.2,7.4,5.5,15.2,20.9,105.8
9,Chicago Bulls,12,2930,38.2,91.1,0.419,10,26.7,0.373,28.2,64.3,0.438,18.1,23.4,0.775,12.7,36.7,49.4,24.1,7.8,7.2,15.2,20.5,104.4
10,Atlanta Hawks,16,3890,38.9,90.3,0.431,9.6,30.2,0.317,29.4,60.1,0.488,16,20.5,0.781,10.4,35.8,46.1,25.1,9,5.2,13.4,20.8,103.4
11,Memphis Grizzlies,11,2640,38.9,91.5,0.425,4.7,15.2,0.312,34.1,76.2,0.447,20.6,24.7,0.832,11.5,35.8,47.3,22.1,9.4,4.4,12,21.1,103
12,Portland Trail Blazers,5,1200,36.3,90.8,0.4,10,28.5,0.351,26.3,62.4,0.422,19.3,23.5,0.824,10.9,37.2,48,18,3.7,5.7,12.6,22.4,101.9
13,Boston Celtics,4,960,37.2,88.7,0.42,5.9,23,0.256,31.3,65.6,0.478,21.2,27.3,0.775,10.7,33,43.7,21.4,5.6,4,14.5,28.7,101.5
14,Brooklyn Nets,6,1465,37.8,87,0.435,8.9,25.1,0.354,28.9,61.9,0.468,16.2,21.8,0.744,9.9,36.6,46.5,22.7,7.8,3.5,15,19.9,100.8
15,Toronto Raptors,4,985,37.9,91,0.416,7.7,25.8,0.3,30.2,65.2,0.462,15.7,21.9,0.718,9,30.7,39.7,20.1,7.7,2.3,12.4,25.8,99.3
16,Milwaukee Bucks,6,1490,35.5,91.5,0.388,5.7,18.9,0.303,29.7,72.6,0.41,15.2,21.6,0.704,12.6,32.7,45.3,21.1,11.2,6.9,13.7,22,91.8
